令和６（２０２４）年　社会医療診療行為別統計　令和６年８月審査分,,,,,,,,,,
診療行為の状況　医科診療　第１８表　医科診療　回数・点数，診療行為（細分類）、入院－入院外別,,,,,,,,,,
注：１）表側欄内の数字は固定点数である。,,,,,,,,,,
注：２）＊がついている診療行為の回数は再掲である。,,,,,,,,,,
注：３）「回数」は、当該診療行為が実施された延べ算定回数である。,,,,,,,,,,
注：４）総数には、入院時食事・生活療養を含まない。,,,,,,,,,,
注：５）「結核病棟特別入院基本料」には、特定機能病院の特別入院基本料を含む。,,,,,,,,,,
注：６）「薬剤料（診療識別80）」は、リハビリテーション及び精神科専門療法の薬剤料である。,,,,,,,,,,
注：７）「特定保険医療材料料（診療識別80）　酸素料」は、精神科専門療法の酸素料である。,,,,,,,,,,
注：８）「特定保険医療材料料（診療識別80）　酸素料以外」は、精神科専門療法及び放射線治療の特定保険医療材料料である。,,,,,,,,,,
注：９）「造血幹細胞移植　提供者の療養上の費用」には、骨髄移植及び末梢血管細胞移植における提供者の療養上の費用を含む。,,,,,,,,,,
,,,,,総数,総数,入院,入院,入院外,入院外
,,,,,回数,点数,回数,点数,回数,点数
診療行為１,診療行為２,診療行為３,固定点数,再掲,回,点,回,点,回,点
総計,,総計,,,1418995311 ,274541637508 ,167523879 ,140682345057 ,1251471432 ,133859292451 
初・再診料計,,初・再診料計,,,126842159 ,17595303553 ,310354 ,147998106 ,126531805 ,17447305447 
初・再診料計,初診小計,初診小計,,,22731874 ,7423685815 ,310354 ,130288896 ,22421520 ,7293396919 
初・再診料計,初診小計,初診料,291 ,,22493020 ,6545468820 ,309853 ,90167223 ,22183167 ,6455301597 
初・再診料計,初診小計,初診料　情報通信機器を用いた場合,253 ,,57580 ,14567740 ,8 ,2024 ,57572 ,14565716 
初・再診料計,初診小計,初診料　他の医療機関からの文書による紹介がない患者,216 ,,8634 ,1864944 ,309 ,66744 ,8325 ,1798200 
初・再診料計,初診小計,初診料　他の医療機関からの文書による紹介がない患者　情報通信機器を用いた場合,188 ,,4 ,752 ,-,-,4 ,752 
初・再診料計,初診小計,初診料　特定妥結率初診料,216 ,,115 ,24840 ,4 ,864 ,111 ,23976 
初・再診料計,初診小計,初診料　特定妥結率初診料　情報通信機器を用いた場合,188 ,,-,-,-,-,-,-
初・再診料計,初診小計,初診料　同一日２科目,146 ,,171850 ,25090100 ,180 ,26280 ,171670 ,25063820 
初・再診料計,初診小計,初診料　同一日２科目　情報通信機器を用いた場合,127 ,,3 ,381 ,-,-,3 ,381 
初・再診料計,初診小計,初診料　同一日２科目　他の医療機関からの文書による紹介がない患者,108 ,,668 ,72144 ,-,-,668 ,72144 
初・再診料計,初診小計,初診料　同一日２科目　他の医療機関からの文書による紹介がない患者　情報通信機器を用いた場合,94 ,,-,-,-,-,-,-
初・再診料計,初診小計,初診料　同一日２科目　特定妥結率初診料,108 ,,-,-,-,-,-,-
初・再診料計,初診小計,初診料　同一日２科目　特定妥結率初診料　情報通信機器を用いた場合,94 ,,-,-,-,-,-,-
初・再診料計,初診小計,初診料　選定療養　病床数が200床以上の病院　200点減算,(200),*,111162 ,(22232400),595 ,(119000),110567 ,(22113400)
初・再診料計,初診小計,初診料　選定療養　病床数が200床以上の病院　188点減算,(188),*,23 ,(4324),-,-,23 ,(4324)
初・再診料計,初診小計,初診料　選定療養　病床数が200床以上の病院　146点減算,(146),*,1320 ,(192720),-,-,1320 ,(192720)
初・再診料計,初診小計,初診料　選定療養　病床数が200床以上の病院　127点減算,(127),*,-,-,-,-,-,-
初・再診料計,初診小計,初診料　選定療養　病床数が200床以上の病院　108点減算,(108),*,-,-,-,-,-,-
初・再診料計,初診小計,初診料　選定療養　病床数が200床以上の病院　94点減算,(94),*,-,-,-,-,-,-
初・再診料計,初診小計,初診料　乳幼児　加算,75 ,*,1238243 ,92868225 ,17155 ,1286625 ,1221088 ,91581600 
初・再診料計,初診小計,初診料　時間外　加算,85 ,*,97913 ,8322605 ,11258 ,956930 ,86655 ,7365675 
初・再診料計,初診小計,初診料　休日　加算,250 ,*,330904 ,82726000 ,23683 ,5920750 ,307221 ,76805250 
初・再診料計,初診小計,初診料　深夜　加算,480 ,*,135787 ,65177760 ,26962 ,12941760 ,108825 ,52236000 
初・再診料計,初診小計,初診料　時間外特例医療機関　加算,230 ,*,224104 ,51543920 ,44675 ,10275250 ,179429 ,41268670 
初・再診料計,初診小計,初診料　乳幼児　時間外　加算,200 ,*,17324 ,3464800 ,1322 ,264400 ,16002 ,3200400 
初・再診料計,初診小計,初診料　乳幼児　休日　加算,365 ,*,42024 ,15338760 ,1883 ,687295 ,40141 ,14651465 
初・再診料計,初診小計,初診料　乳幼児　深夜　加算,695 ,*,20149 ,14003555 ,2691 ,1870245 ,17458 ,12133310 
初・再診料計,初診小計,初診料　乳幼児　時間外特例医療機関　加算,345 ,*,32890 ,11347050 ,4220 ,1455900 ,28670 ,9891150 
初・再診料計,初診小計,初診料　小児科　乳幼児夜間　加算,200 ,*,17094 ,3418800 ,33 ,6600 ,17061 ,3412200 
初・再診料計,初診小計,初診料　小児科　乳幼児休日　加算,365 ,*,7634 ,2786410 ,30 ,10950 ,7604 ,2775460 
初・再診料計,初診小計,初診料　小児科　乳幼児深夜　加算,695 ,*,830 ,576850 ,53 ,36835 ,777 ,540015 
初・再診料計,初診小計,初診料　夜間・早朝等　加算,50 ,*,1080908 ,54045400 ,82 ,4100 ,1080826 ,54041300 
初・再診料計,初診小計,初診料　機能強化　加算,80 ,*,2896197 ,231695760 ,29155 ,2332400 ,2867042 ,229363360 
初・再診料計,初診小計,初診料　外来感染対策向上　加算,6 ,*,5886914 ,35321484 ,1531 ,9186 ,5885383 ,35312298 
初・再診料計,初診小計,初診料　発熱患者等対応　加算,20 ,*,2487195 ,49743900 ,79 ,1580 ,2487116 ,49742320 
初・再診料計,初診小計,初診料　連携強化　加算,3 ,*,1931839 ,5795517 ,611 ,1833 ,1931228 ,5793684 
初・再診料計,初診小計,初診料　サーベイランス強化　加算,1 ,*,610122 ,610122 ,150 ,150 ,609972 ,609972 
初・再診料計,初診小計,初診料　抗菌薬適正使用体制　加算,5 ,*,144982 ,724910 ,14 ,70 ,144968 ,724840 
初・再診料計,初診小計,初診料　医療情報取得　加算１,3 ,*,15798443 ,47395329 ,152979 ,458937 ,15645464 ,46936392 
初・再診料計,初診小計,初診料　医療情報取得　加算２,1 ,*,1719589 ,1719589 ,58749 ,58749 ,1660840 ,1660840 
初・再診料計,初診小計,初診料　医療ＤＸ推進体制整備　加算,8 ,*,10049849 ,80398792 ,195527 ,1564216 ,9854322 ,78834576 
初・再診料計,再診小計,再診小計,,,104110285 ,10171617380 ,-,17709210 ,104110285 ,10153908170 
初・再診料計,再診小計,再診料,75 ,,89288682 ,6696651150 ,-,-,89288682 ,6696651150 
初・再診料計,再診小計,再診料　情報通信機器を用いた場合,75 ,,85847 ,6438525 ,-,-,85847 ,6438525 
初・再診料計,再診小計,再診料　特定妥結率再診料,55 ,,354 ,19470 ,-,-,354 ,19470 
初・再診料計,再診小計,再診料　特定妥結率再診料　情報通信機器を用いた場合,55 ,,-,-,-,-,-,-
初・再診料計,再診小計,再診料　電話等,75 ,,278725 ,20904375 ,-,-,278725 ,20904375 
初・再診料計,再診小計,再診料　電話等　特定妥結率再診料,55 ,,2 ,110 ,-,-,2 ,110 
初・再診料計,再診小計,再診料　同日再診,75 ,,112780 ,8458500 ,-,-,112780 ,8458500 
初・再診料計,再診小計,再診料　同日再診　情報通信機器を用いた場合,75 ,,331 ,24825 ,-,-,331 ,24825 
初・再診料計,再診小計,再診料　同日再診　特定妥結率再診料,55 ,,-,-,-,-,-,-
初・再診料計,再診小計,再診料　同日再診　特定妥結率再診料　情報通信機器を用いた場合,55 ,,-,-,-,-,-,-
初・再診料計,再診小計,再診料　同日再診　電話等,75 ,,24673 ,1850475 ,-,-,24673 ,1850475 
初・再診料計,再診小計,再診料　同日再診　電話等　特定妥結率再診料,55 ,,-,-,-,-,-,-
初・再診料計,再診小計,再診料　同一日２科目,38 ,,676482 ,25706316 ,-,-,676482 ,25706316 
初・再診料計,再診小計,再診料　同一日２科目　情報通信機器を用いた場合,38 ,,30 ,1140 ,-,-,30 ,1140 
初・再診料計,再診小計,再診料　同一日２科目　特定妥結率再診料,28 ,,7 ,196 ,-,-,7 ,196 
初・再診料計,再診小計,再診料　同一日２科目　特定妥結率再診料　情報通信機器を用いた場合,28 ,,-,-,-,-,-,-
初・再診料計,再診小計,再診料　同一日２科目　電話等,38 ,,99 ,3762 ,-,-,99 ,3762 
初・再診料計,再診小計,再診料　同一日２科目　電話等　特定妥結率再診料,28 ,,-,-,-,-,-,-
初・再診料計,再診小計,再診料　乳幼児　加算,38 ,*,1775468 ,67467784 ,-,-,1775468 ,67467784 
初・再診料計,再診小計,再診料　時間外　加算,65 ,*,147962 ,9617530 ,4129 ,268385 ,143833 ,9349145 
初・再診料計,再診小計,再診料　休日　加算,190 ,*,76207 ,14479330 ,4830 ,917700 ,71377 ,13561630 
初・再診料計,再診小計,再診料　深夜　加算,420 ,*,29690 ,12469800 ,4488 ,1884960 ,25202 ,10584840 
初・再診料計,再診小計,再診料　時間外特例医療機関　加算,180 ,*,25485 ,4587300 ,5795 ,1043100 ,19690 ,3544200 
初・再診料計,再診小計,再診料　乳幼児時間外　加算,135 ,*,12234 ,1651590 ,49 ,6615 ,12185 ,1644975 
初・再診料計,再診小計,再診料　乳幼児休日　加算,260 ,*,4953 ,1287780 ,80 ,20800 ,4873 ,1266980 
初・再診料計,再診小計,再診料　乳幼児深夜　加算,590 ,*,700 ,413000 ,39 ,23010 ,661 ,389990 
初・再診料計,再診小計,再診料　乳幼児時間外特例医療機関　加算,250 ,*,1294 ,323500 ,98 ,24500 ,1196 ,299000 
初・再診料計,再診小計,再診料　小児科　乳幼児夜間　加算,135 ,*,24561 ,3315735 ,11 ,1485 ,24550 ,3314250 
初・再診料計,再診小計,再診料　小児科　乳幼児休日　加算,260 ,*,4730 ,1229800 ,8 ,2080 ,4722 ,1227720 
初・再診料計,再診小計,再診料　小児科　乳幼児深夜　加算,590 ,*,68 ,40120 ,1 ,590 ,67 ,39530 
初・再診料計,再診小計,再診料　夜間・早朝等　加算,50 ,*,2687874 ,134393700 ,-,-,2687874 ,134393700 
初・再診料計,再診小計,再診料　外来管理　加算,52 ,*,32969141 ,1714395332 ,-,-,32969141 ,1714395332 
初・再診料計,再診小計,再診料　時間外対応　加算１,5 ,*,10677233 ,53386165 ,-,-,10677233 ,53386165 
初・再診料計,再診小計,再診料　時間外対応　加算２,4 ,*,826791 ,3307164 ,-,-,826791 ,3307164 
初・再診料計,再診小計,再診料　時間外対応　加算３,3 ,*,11663851 ,34991553 ,-,-,11663851 ,34991553 
初・再診料計,再診小計,再診料　時間外対応　加算４,1 ,*,289900 ,289900 ,-,-,289900 ,289900 
初・再診料計,再診小計,再診料　明細書発行体制等　加算,1 ,*,74324993 ,74324993 ,-,-,74324993 ,74324993 
初・再診料計,再診小計,再診料　地域包括診療　加算１,28 ,*,644010 ,18032280 ,-,-,644010 ,18032280 
初・再診料計,再診小計,再診料　地域包括診療　加算２,21 ,*,1081555 ,22712655 ,-,-,1081555 ,22712655 
初・再診料計,再診小計,再診料　認知症地域包括診療　加算１,38 ,*,15247 ,579386 ,-,-,15247 ,579386 
初・再診料計,再診小計,再診料　認知症地域包括診療　加算２,31 ,*,15450 ,478950 ,-,-,15450 ,478950 
初・再診料計,再診小計,再診料　薬剤適正使用連携　加算,30 ,*,12 ,360 ,-,-,12 ,360 
初・再診料計,再診小計,再診料　外来感染対策向上　加算,6 ,*,14839987 ,89039922 ,-,-,14839987 ,89039922 
初・再診料計,再診小計,再診料　発熱患者等対応　加算,20 ,*,933138 ,18662760 ,-,-,933138 ,18662760 
初・再診料計,再診小計,再診料　連携強化　加算,3 ,*,5302435 ,15907305 ,-,-,5302435 ,15907305 
初・再診料計,再診小計,再診料　サーベイランス強化　加算,1 ,*,1499490 ,1499490 ,-,-,1499490 ,1499490 
初・再診料計,再診小計,再診料　抗菌薬適正使用体制　加算,5 ,*,207320 ,1036600 ,-,-,207320 ,1036600 
初・再診料計,再診小計,再診料　医療情報取得　加算３,2 ,*,15527518 ,31055036 ,-,-,15527518 ,31055036 
初・再診料計,再診小計,再診料　医療情報取得　加算４,1 ,*,1448205 ,1448205 ,-,-,1448205 ,1448205 
初・再診料計,再診小計,再診料　看護師等遠隔診療補助　加算,50 ,*,119 ,5950 ,-,-,119 ,5950 
初・再診料計,再診小計,外来診療料　,76 ,,12973178 ,985961528 ,-,-,12973178 ,985961528 
初・再診料計,再診小計,外来診療料　情報通信機器を用いた場合,75 ,,1165 ,87375 ,-,-,1165 ,87375 
初・再診料計,再診小計,外来診療料　他の医療機関に対して文書による紹介を行う旨の申出を行っている患者,56 ,,13523 ,757288 ,-,-,13523 ,757288 
初・再診料計,再診小計,外来診療料　他の医療機関に対して文書による紹介を行う旨の申出を行っている患者　情報通信機器を用いた場合,56 ,,1 ,56 ,-,-,1 ,56 
初・再診料計,再診小計,外来診療料　特定妥結率外来診療料,56 ,,-,-,-,-,-,-
初・再診料計,再診小計,外来診療料　特定妥結率外来診療料　情報通信機器を用いた場合,56 ,,-,-,-,-,-,-
初・再診料計,再診小計,外来診療料　同日,76 ,,13246 ,1006696 ,-,-,13246 ,1006696 
初・再診料計,再診小計,外来診療料　同日　情報通信機器を用いた場合,75 ,,1 ,75 ,-,-,1 ,75 
初・再診料計,再診小計,外来診療料　同日　他の医療機関に対して文書による紹介を行う旨の申出を行っている患者,56 ,,6 ,336 ,-,-,6 ,336 
初・再診料計,再診小計,外来診療料　同日　他の医療機関に対して文書による紹介を行う旨の申出を行っている患者　情報通信機器を用いた場合,56 ,,-,-,-,-,-,-
初・再診料計,再診小計,外来診療料　同日　特定妥結率外来診療料,56 ,,-,-,-,-,-,-
初・再診料計,再診小計,外来診療料　同日　特定妥結率外来診療料　情報通信機器を用いた場合,56 ,,-,-,-,-,-,-
初・再診料計,再診小計,外来診療料　同一日２科目,38 ,,639957 ,24318366 ,-,-,639957 ,24318366 
初・再診料計,再診小計,外来診療料　同一日２科目　情報通信機器を用いた場合,38 ,,12 ,456 ,-,-,12 ,456 
初・再診料計,再診小計,外来診療料　同一日２科目　他の医療機関に対して文書による紹介を行う旨の申出を行っている患者,28 ,,1182 ,33096 ,-,-,1182 ,33096 
初・再診料計,再診小計,外来診療料　同一日２科目　他の医療機関に対して文書による紹介を行う旨の申出を行っている患者　情報通信機器を用いた場合,28 ,,-,-,-,-,-,-
初・再診料計,再診小計,外来診療料　同一日２科目　特定妥結率外来診療料,28 ,,2 ,56 ,-,-,2 ,56 
初・再診料計,再診小計,外来診療料　同一日２科目　特定妥結率外来診療料　情報通信機器を用いた場合,28 ,,-,-,-,-,-,-
初・再診料計,再診小計,外来診療料　選定療養　病床数が200床以上の病院　50点減算,(50),*,13749 ,(687450),-,-,13749 ,(687450)
初・再診料計,再診小計,外来診療料　選定療養　病床数が200床以上の病院　38点減算,(38),*,217 ,(8246),-,-,217 ,(8246)
初・再診料計,再診小計,外来診療料　選定療養　病床数が200床以上の病院　28点減算,(28),*,2 ,(56),-,-,2 ,(56)
初・再診料計,再診小計,外来診療料　乳幼児　加算,38 ,*,361346 ,13731148 ,-,-,361346 ,13731148 
初・再診料計,再診小計,外来診療料　時間外　加算,65 ,*,16885 ,1097525 ,5445 ,353925 ,11440 ,743600 
初・再診料計,再診小計,外来診療料　休日　加算,190 ,*,48931 ,9296890 ,12846 ,2440740 ,36085 ,6856150 
初・再診料計,再診小計,外来診療料　深夜　加算,420 ,*,41402 ,17388840 ,13504 ,5671680 ,27898 ,11717160 
初・再診料計,再診小計,外来診療料　時間外特例医療機関　加算,180 ,*,73580 ,13244400 ,22467 ,4044060 ,51113 ,9200340 
初・再診料計,再診小計,外来診療料　乳幼児時間外　加算,135 ,*,1433 ,193455 ,332 ,44820 ,1101 ,148635 
初・再診料計,再診小計,外来診療料　乳幼児休日　加算,260 ,*,5704 ,1483040 ,683 ,177580 ,5021 ,1305460 
初・再診料計,再診小計,外来診療料　乳幼児深夜　加算,590 ,*,4099 ,2418410 ,724 ,427160 ,3375 ,1991250 
初・再診料計,再診小計,外来診療料　乳幼児時間外特例医療機関　加算,250 ,*,8656 ,2164000 ,1319 ,329750 ,7337 ,1834250 
初・再診料計,再診小計,外来診療料　小児科　乳幼児夜間　加算,135 ,*,75 ,10125 ,16 ,2160 ,59 ,7965 
初・再診料計,再診小計,外来診療料　小児科　乳幼児休日　加算,260 ,*,161 ,41860 ,36 ,9360 ,125 ,32500 
初・再診料計,再診小計,外来診療料　小児科　乳幼児深夜　加算,590 ,*,138 ,81420 ,25 ,14750 ,113 ,66670 
初・再診料計,再診小計,外来診療料　医療情報取得　加算３,2 ,*,3069320 ,6138640 ,-,-,3069320 ,6138640 
初・再診料計,再診小計,外来診療料　医療情報取得　加算４,1 ,*,368232 ,368232 ,-,-,368232 ,368232 
初・再診料計,再診小計,外来診療料　看護師等遠隔診療補助　加算,50 ,*,-,-,-,-,-,-
初・再診料計,,補正点数（＋）　初診・再診,,,-,746 ,-,-,-,746 
初・再診料計,,補正点数（－）　初診・再診,,,-,(388),-,-,-,(388)
入院料等計,,入院料等計,,,23468622 ,47521329696 ,23328520 ,47328428910 ,140102 ,192900786 
入院料等計,入院計,入院計,,,23328520 ,47327897290 ,23328520 ,47327897290 ,-,-
入院料等計,入院計－入院基本料計,入院基本料計,,,14083018 ,19933979095 ,14083018 ,19933979095 ,-,-
入院料等計,入院計－入院基本料計－病院計,病院計,,,13382626 ,19206702471 ,13382626 ,19206702471 ,-,-
