—Яa‚UЃi‚Q‚O‚Q‚SЃj”NЃ@ЋР‰п€г—Гђf—ГЌs€Ч•К“ќЊvЃ@—Яa‚U”N‚WЊЋђRЌё•Є,,,,,,,,,,,
–тЌЬ‚МЋg—pЏу‹µЃ@€г‰Иђf—ГЃ@‘ж‚P‚T•\Ѓ@–тЌЬ“_ђ”ЃCђf—ГЌs€Ч‹ж•ЄЃi‘Ќђ”ЃjЃA“ь‰@Ѓ|“ь‰@ЉOЃA€к”К€г—ГЃ|ЊгЉъ€г—ГЃE”N—оЉK‹‰ЃA–т‰їЉK‹‰•К,,,,,,,,,,,
’ЌЃF‚PЃjЃu–тЌЬЃv‚МЏoЊ»‚·‚й–ѕЌЧЏ‘‚рЏWЊv‘ОЏЫ‚Ж‚µ‚Д‚ў‚йЃB‚Ѕ‚ѕ‚µЃAЃuЏ€•ыві—їЃv‚рЋZ’и‚µ‚Д‚ў‚й–ѕЌЧЏ‘ЃAЃu“Љ–тЃvЃu’ЌЋЛЃv‚р•пЉ‡‚µ‚Ѕђf—ГЌs€Ч‚ЄЏoЊ»‚·‚й–ѕЌЧЏ‘‹y‚С‚c‚o‚bЃ^‚o‚c‚o‚r‚ЙЊW‚й–ѕЌЧЏ‘‚НЏњ‚ў‚Д‚ў‚йЃB,,,,,,,,,,,
’ЌЃF‚QЃj ‘Ќђ”‚Й‚НЃAЃu–тЌЬ—їЊё“_ЃiЋј•z–т–тЌЬ—їЏгЊА’ґЃjЃv‚рЉЬ‚ЮЃB,,,,,,,,,,,
,,‘Ќђ”,250‰~–ў–ћ‘Ќђ”,50‰~–ў–ћ,50Ѓ`100‰~–ў–ћ,100Ѓ`150‰~–ў–ћ,150Ѓ`200‰~–ў–ћ,200Ѓ`250‰~–ў–ћ,250Ѓ`500‰~–ў–ћ,500‰~€ИЏг,Њг”­€г–т•iЃiЌДЊfЃj
“ь‰@Ѓ|“ь‰@ЉO,€к”К€г—ГЃ|ЊгЉъ€г—ГЃE”N—оЉK‹‰,“_,“_,“_,“_,“_,“_,“_,“_,“_,“_
‘Ќђ”,‘Ќђ”,19030565584,4680309932,2395499598,894189567,562806375,527753943,300060449,859067261,13491188994,1936595243
‘Ќђ”,€к”К€г—Г,12101943362,2774916142,1418036433,544997871,317072569,316654157,178155113,515353876,8811673572,1179405332
‘Ќђ”,ЊгЉъ€г—Г,6928622223,1905393789,977463165,349191696,245733805,211099787,121905336,343713385,4679515423,757189910
‘Ќђ”,00Ѓ`04ЌО,278084059,22649475,13014128,4262894,2564073,2162118,646261,2908049,252526535,5230105
‘Ќђ”,05Ѓ`09ЌО,201766516,40988023,20424071,7955847,5675688,4866179,2066237,4901537,155876956,13546296
‘Ќђ”,10Ѓ`14ЌО,351927847,48845297,23667317,8541324,7086735,5471100,4078820,9026615,294055935,26285163
‘Ќђ”,15Ѓ`19ЌО,315563995,55634218,28887604,12433911,6342191,4394909,3575603,12502162,247427615,23309687
‘Ќђ”,20Ѓ`24ЌО,290475653,68671178,32119283,20062101,6803929,6040352,3645513,22369888,199434587,35223359
‘Ќђ”,25Ѓ`29ЌО,379315852,88677307,41077214,25420473,8428822,8322032,5428765,30843608,259794937,43680283
‘Ќђ”,30Ѓ`34ЌО,438988044,101557193,49866048,26057297,9235131,9946119,6452598,32349400,305081450,43309839
‘Ќђ”,35Ѓ`39ЌО,538703840,121839585,60469485,29964668,11882561,12365431,7157440,33959906,382904401,51762919
‘Ќђ”,40Ѓ`44ЌО,661512786,151834891,76183225,35679452,15682503,15408304,8881406,30693750,478984145,65316651
‘Ќђ”,45Ѓ`49ЌО,888512802,215283728,108538139,46338030,22571337,22574365,15261856,33744685,639484402,91115942
‘Ќђ”,50Ѓ`54ЌО,1170095455,291407666,149580874,53590285,31169448,32923932,24143128,43598496,835089293,115919845
‘Ќђ”,55Ѓ`59ЌО,1235447108,306139388,158746075,53689701,34712624,37431505,21559484,48281300,881026420,122924144
‘Ќђ”,60Ѓ`64ЌО,1407280575,338328807,176354440,59523666,40139548,42144703,20166451,55250728,1013701195,141717875
‘Ќђ”,65Ѓ`69ЌО,1677735277,400813378,208113423,70638357,49394886,48896201,23770512,67534837,1209387062,173682984
‘Ќђ”,70Ѓ`74ЌО,2404632194,559682595,287626225,99228910,71102106,66878174,34847181,96945571,1748004038,239659153
‘Ќђ”,75Ѓ`79ЌО,2686377962,647355967,333599635,115943364,83097044,74525430,40190494,114908395,1924113637,267287384
‘Ќђ”,80Ѓ`84ЌО,2154894801,588214409,303861880,107859728,76319325,64966761,35206715,105726030,1460954620,232924393
‘Ќђ”,85Ѓ`89ЌО,1245570922,391955239,201594773,72370543,50804786,42658288,24526848,70297628,783318067,150944798
‘Ќђ”,90ЌО€ИЏг,703679897,240431588,121775760,44629013,29793638,25778041,18455136,43224676,420023700,92754422
“ь‰@,‘Ќђ”,3463661485,480063199,169837470,98263088,77735290,54436974,79790377,148707714,2834890572,241164754
“ь‰@,€к”К€г—Г,1852849810,232333069,89509038,45840882,38603061,22355048,36025039,75287897,1545228844,122422293
“ь‰@,ЊгЉъ€г—Г,1610811675,247730131,80328432,52422206,39132229,32081926,43765338,73419817,1289661728,118742461
“ь‰@,00Ѓ`04ЌО,59785659,3349817,926609,909736,719990,395715,397767,1377237,55058605,1525882
“ь‰@,05Ѓ`09ЌО,37332868,2488078,1042381,494656,501921,198537,250582,724928,34119862,1058791
“ь‰@,10Ѓ`14ЌО,33183789,3980174,1572796,922900,628964,273386,582128,1220732,27982883,1467636
“ь‰@,15Ѓ`19ЌО,57827908,5141827,2184508,995930,888150,418560,654679,1498220,51187861,2327801
“ь‰@,20Ѓ`24ЌО,30535669,6316771,2626435,1236236,1070572,554780,828748,2009491,22209408,2031183
