"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年06月20日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","A1102","","A110201","","A110202","","A141501","","A141502","","A141601","","A141602","","A141701","","A141702","","A141801","","A141802","","A191003","","A191005","","A191007","","A5103","","A5104","","A7101","","I5101","","I510120","","I510150","","I5102","","I510201","","J230113","","J230133","","J230223",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1102_日本人人口【人】","注釈","A110201_日本人人口（男）【人】","注釈","A110202_日本人人口（女）【人】","注釈","A141501_40歳以上人口（男）【人】","注釈","A141502_40歳以上人口（女）【人】","注釈","A141601_60歳以上人口（男）【人】","注釈","A141602_60歳以上人口（女）【人】","注釈","A141701_70歳以上人口（男）【人】","注釈","A141702_70歳以上人口（女）【人】","注釈","A141801_80歳以上人口（男）【人】","注釈","A141802_80歳以上人口（女）【人】","注釈","A191003_将来推計人口（2030年）【人】","注釈","A191005_将来推計人口（2040年）【人】","注釈","A191007_将来推計人口（2050年）【人】","注釈","A5103_転入者数【人】","注釈","A5104_転出者数【人】","注釈","A7101_世帯数【世帯】","注釈","I5101_病院数【施設】","注釈","I510120_一般病院数【施設】","注釈","I510150_療養病床を有する病院数【施設】","注釈","I5102_一般診療所数【施設】","注釈","I510201_有床一般診療所数【施設】","注釈","J230113_養護老人ホーム在所者数（詳細票）【人】","注釈","J230133_軽費老人ホーム在所者数（詳細票）【人】","注釈","J230223_有料老人ホーム在所者数（詳細票）【人】","注釈"
"2023100000","2023年度","40130","福岡県 福岡市","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","1,659,766","","1,664,570","","1,622,565","","115,703","","106,792","","***","","***","","***","","***","","***","","***","","***","","***","","***",""
"2023100000","2023年度","40131","福岡県 福岡市 東区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","337,419","","342,329","","336,456","","20,641","","17,585","","***","","***","","***","","***","","***","","***","","***","","***","","***",""
"2023100000","2023年度","40132","福岡県 福岡市 博多区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","264,024","","268,105","","261,251","","25,991","","24,927","","***","","***","","***","","***","","***","","***","","***","","***","","***",""
"2023100000","2023年度","40133","福岡県 福岡市 中央区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","216,298","","219,891","","215,117","","18,956","","17,953","","***","","***","","***","","***","","***","","***","","***","","***","","***",""
"2023100000","2023年度","40134","福岡県 福岡市 南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","269,267","","268,060","","260,729","","16,695","","15,601","","***","","***","","***","","***","","***","","***","","***","","***","","***",""
"2023100000","2023年度","40135","福岡県 福岡市 西区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","219,753","","220,863","","216,215","","11,980","","11,169","","***","","***","","***","","***","","***","","***","","***","","***","","***",""
"2023100000","2023年度","40136","福岡県 福岡市 城南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","132,957","","130,052","","124,969","","8,236","","7,601","","***","","***","","***","","***","","***","","***","","***","","***","","***",""
"2023100000","2023年度","40137","福岡県 福岡市 早良区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","220,048","","215,270","","207,828","","13,204","","11,956","","***","","***","","***","","***","","***","","***","","***","","***","","***",""
"2022100000","2022年度","40130","福岡県 福岡市","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","115,355","","109,324","","***","","115","","102","","43","","1,662","","119","","***","","***","","***",""
"2022100000","2022年度","40131","福岡県 福岡市 東区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","19,992","","18,099","","***","","21","","18","","9","","220","","17","","***","","***","","***",""
"2022100000","2022年度","40132","福岡県 福岡市 博多区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","25,713","","25,561","","***","","17","","17","","5","","291","","17","","***","","***","","***",""
"2022100000","2022年度","40133","福岡県 福岡市 中央区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","20,104","","17,956","","***","","16","","15","","4","","428","","20","","***","","***","","***",""
"2022100000","2022年度","40134","福岡県 福岡市 南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","16,423","","15,971","","***","","18","","15","","6","","230","","16","","***","","***","","***",""
"2022100000","2022年度","40135","福岡県 福岡市 西区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","11,807","","11,517","","***","","21","","16","","11","","179","","18","","***","","***","","***",""
"2022100000","2022年度","40136","福岡県 福岡市 城南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","7,984","","7,686","","***","","9","","8","","3","","101","","9","","***","","***","","***",""
"2022100000","2022年度","40137","福岡県 福岡市 早良区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","13,332","","12,534","","***","","13","","13","","5","","213","","22","","***","","***","","***",""
"2021100000","2021年度","40130","福岡県 福岡市","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","113,971","","106,813","","***","","115","","102","","42","","1,640","","124","","***","","***","","***",""
"2021100000","2021年度","40131","福岡県 福岡市 東区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","20,536","","17,722","","***","","21","","18","","9","","212","","19","","***","","***","","***",""
"2021100000","2021年度","40132","福岡県 福岡市 博多区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","24,583","","24,687","","***","","18","","18","","5","","291","","17","","***","","***","","***",""
"2021100000","2021年度","40133","福岡県 福岡市 中央区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","19,896","","18,121","","***","","15","","14","","3","","425","","20","","***","","***","","***",""
"2021100000","2021年度","40134","福岡県 福岡市 南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","16,634","","15,390","","***","","18","","15","","6","","225","","16","","***","","***","","***",""
"2021100000","2021年度","40135","福岡県 福岡市 西区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","11,268","","11,330","","***","","21","","16","","11","","175","","18","","***","","***","","***",""
"2021100000","2021年度","40136","福岡県 福岡市 城南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","8,024","","7,509","","***","","9","","8","","3","","103","","11","","***","","***","","***",""
"2021100000","2021年度","40137","福岡県 福岡市 早良区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","13,030","","12,054","","***","","13","","13","","5","","209","","23","","***","","***","","***",""
